iter	MultiClass
0	1.555330859
1	1.478136945
2	1.421332866
3	1.373089893
4	1.318981501
5	1.278280633
6	1.238835663
7	1.195487361
8	1.138824326
9	1.100566022
10	1.065633212
11	1.03498546
12	0.9970693302
13	0.9700699471
14	0.9221421498
15	0.8903584645
16	0.8436355726
17	0.8185072239
18	0.7960572125
19	0.7680016429
20	0.7435417964
21	0.7142231842
22	0.6959929134
23	0.674044843
24	0.6568762591
25	0.6361068612
26	0.6118693753
27	0.5985582094
28	0.5801293731
29	0.5603349292
30	0.5453070625
31	0.5304600924
32	0.5165108643
33	0.5023303287
34	0.4911001838
35	0.4770449692
36	0.4611125642
37	0.4496760931
38	0.4401022899
39	0.4297640074
40	0.4202580621
41	0.4115018362
42	0.4030841209
43	0.3931997346
44	0.3829036447
45	0.3731157522
46	0.3616067487
47	0.3533685804
48	0.3423449363
49	0.3338131715
50	0.325865939
51	0.3174520423
52	0.309042496
53	0.302367819
54	0.2928531314
55	0.2817570117
56	0.2752131743
57	0.268210423
58	0.2603507181
59	0.255168637
60	0.248695791
61	0.2426761009
62	0.2371554964
63	0.2318190187
64	0.2259080823
65	0.2207496099
66	0.2157707478
67	0.2098267446
68	0.2045744281
69	0.2000553314
70	0.1953569081
71	0.1906815103
72	0.1864916442
73	0.1825081708
74	0.1786966245
75	0.1744826386
76	0.1716876588
77	0.1683644642
78	0.1650513763
79	0.1617643568
80	0.158351886
81	0.1549419726
82	0.152629925
83	0.1483725313
84	0.1452579105
85	0.1428334529
86	0.1401044289
87	0.1377757303
88	0.1350827154
89	0.13315195
90	0.1314969256
91	0.1299510604
92	0.1279360501
93	0.1262069396
94	0.1243410834
95	0.1217509334
96	0.1202667687
97	0.1177379844
98	0.1161361509
99	0.1142840079
100	0.1122563658
101	0.1105681682
102	0.1088774425
103	0.1071459791
104	0.1061036257
105	0.1051871485
106	0.1038747017
107	0.102661192
108	0.1009728588
109	0.09980502484
110	0.0983734158
111	0.09690048351
112	0.09570070374
113	0.09440997583
114	0.09327012931
115	0.09233006724
116	0.09125556943
117	0.0902235627
118	0.08913061191
119	0.0881369707
120	0.08685842959
121	0.08598405466
122	0.08524517588
123	0.08421565932
124	0.08328649165
125	0.08223495256
126	0.08102713855
127	0.07998402319
128	0.07886995481
129	0.07820943971
130	0.07714469906
131	0.07646135025
132	0.07566285331
133	0.07497897378
134	0.07426143476
135	0.07337401466
136	0.07275185265
137	0.07176596161
138	0.0710343387
139	0.07025658329
140	0.06955195828
141	0.0687373149
142	0.06784411289
143	0.06701395357
144	0.06625707212
145	0.06540400271
146	0.06481394391
147	0.06428976942
148	0.06364254893
149	0.06313460069
150	0.06240838628
151	0.06166459041
152	0.06096263301
153	0.06042141451
154	0.05991613472
155	0.05929012267
156	0.0587769809
157	0.05819270058
158	0.05772427621
159	0.05707082146
160	0.05663288663
161	0.05619984128
162	0.05575309257
163	0.05528920436
164	0.05474388525
165	0.05416150891
166	0.05363665038
167	0.05311725934
168	0.05261773608
169	0.05231323993
170	0.05173977764
171	0.05136310441
172	0.05094331858
173	0.0505039102
174	0.04995418671
175	0.0495466269
176	0.04917439542
177	0.04889136216
178	0.04861520442
179	0.04821967236
180	0.04768987077
181	0.04720159846
182	0.04688714762
183	0.04648447468
184	0.04621875744
185	0.04587194728
186	0.04554162164
187	0.04529719409
188	0.04497869406
189	0.04451252963
190	0.04429641302
191	0.0440303357
192	0.04375594265
193	0.04342545301
194	0.04300700654
195	0.04265147709
196	0.04244196024
197	0.04219988537
198	0.04193045116
199	0.04163313503
